?	?	INCONSISTET DATA				0.00	0
0001	 	T & M Royal Caribbean, USA				0.00	0
0001	I	VANTAGE AND EAGLE	A	BOB	2/14/2000 0:00:00		0
0001	IV	MILLWORK & SPECS	A	BOB	3/27/2000 0:00:00		0
0001	PPS	Preliminary Planning Services	A	BOB			0
0002	 	United Cinemas, Tokoyo, Japan				0.00	0
0002	II	DESIGN CONCEPT	A	BOB	12/18/2000 0:00:00		0
0002	IP	INITIAL PAYMENT	A	BOB		12500.00	0
0002	REN	RENDERINGS	A	BOB		12500.00	0
0003	 	Grand Formosa Regent, Taipei				0.00	0
0003	DP	DOWN PAYMENT	A	BOB		4400.00	1
0003	I	PLANNINIG	A	RB	3/28/2000 0:00:00	7128.00	0
0003	II	ARCHITECTURAL INF. PACKAGE	A	RB	4/27/2000 0:00:00	7128.00	0
0003	III	ARCHITECTURAL PACKAGE	A	BOB		9900.00	0
0003	IV	MILLWORK & SPECS	A	BOB		9504.00	0
0003	V	COORDINATION & INSTALLATION	A	BOB		5940.00	0
0004	 	Category Fore/Golfit				0.00	0
0004	I	PLANNING	A	RB	4/20/2000 0:00:00		0
0004	II	DESIGN CONCEPT	A	RB	4/20/2000 0:00:00		0
0004	IV	MILLWORK & SPECS	A	RB	6/21/2000 0:00:00		0
0005	 	Eastview Hotel, Miami				0.00	0
0005	AS	ADDITIONAL SERVICES	A	BOB			0
0005	DP	Down Payment	A	BOB		9000.00	1
0005	I	PLANNING	A	RB	4/20/2000 0:00:00	12150.00	0
0005	II	Design Concept	A	BOB		12960.00	0
0005	III	Architectutal Informaton Pkge	A	BOB		20250.00	0
0005	IV	MILLWORK & SPECS	A	BOB		19440.00	0
0005	V	COORDINATION & INSTALLATION	A	BOB		16200.00	0
0006	 	Sheraton  Park Tower				0.00	0
0006	DP	DOWN PAYMENT	A	RB		22080.00	1
0006	I	PLANNING	A	RB		35769.60	0
0006	II	DESING CONCEPT	A	RB		35769.60	0
0006	III	ARCHITECTUAL INF. PACKAGE	A	RB		49680.00	0
0006	IV	MILLWORK & SPECS	A	RB		47692.80	0
0006	V	BIDDING & NEG.	A	RB		29808.00	0
0007	 	Sheraton Hotel, Manchester				0.00	0
0007	DP	DOWN PAYMENT	A	BILK		48000.00	1
0007	I	PLANNING	A	RB	4/21/2000 0:00:00	77760.00	0
0007	II	DESIGN CONCEPT	A	RB	4/21/2000 0:00:00	77760.00	0
0007	III	ARCH INFORMATION PACKAGE	A	BILK		108000.0	0
0007	IV	MILLWORK & SPECS	A	BILK		103680.0	0
0007	T&M	TIME AND MATERIAL	A	BILK			0
0007	V	COORDINATION & INSTALLATION	A	BILK		64800.00	0
0008	 	Grand Bank Center				0.00	0
0008	I	PLANNING	A	BOB	6/21/2000 0:00:00		0
0008	II	DESIGN CONCEPT	A	BOB	5/21/2001 0:00:00		0
0008	III	ARCHITECTURAL INFORMATION	A	BOB	5/30/2001 0:00:00		0
0008	IV	MILLWORK & SPECS	A	BOB	8/16/2000 0:00:00		0
0010	 	Chia Tai Shopping Mal China				0.00	0
0010	I	PLANNING	A	RB	8/14/2000 0:00:00		0
0011	 	?				0.00	0
0011	I	PLANNING	A	RB	8/14/2000 0:00:00		0
0011	II	Design Concept	A	RB	7/27/2000 0:00:00		0
0012	 	Le Meridien Singapore				0.00	0
0012	DP	Down Payment	A	BOB		1500.00	1
0012	I	Planning	A	BOB		2430.00	0
0012	II	Design Concept	A	BOB		2430.00	0
0012	III	Architectural Inform. Package	A	BOB		3375.00	0
0012	IV	Millwork & Specs	A	BOB		3240.00	0
0012	V	Coordination & Installation	A	BOB		2025.00	0
0013	 	Richmond Hotel, Miami Florida				0.00	0
0013	II	DERSIGN CONCEPT	A	BOB	12/1/2000 0:00:00		0
0013	T&M	Time & Material	A	BOB	10/17/2000 0:00:00		0
0014	 	Philamlife Tower Club, Manila				0.00	0
0014	DP	Down Payment	A	RB		16000.00	1
0014	I	PLANNING	A	RB		24000.00	0
0014	II	DESIGN CONCEPT	A	RB		24000.00	0
0014	III	ARCH. INFORMATION PACKAGE	A	RB		24000.00	0
0014	IV	MILLWORK & SPECS	A	RB		24000.00	0
0014	V	BIDDING & NEG./REV. SAMPLES	A	RB		48000.00	0
0015	 	Tung Wan Club House, Hong Kong				0.00	0
0015	AS	ADDITIONAL SERVICES	A	RB		20000.00	0
0015	DP	Down Payment	A	RB		25600.00	1
0015	I	PLANNING	A	RB		40000.00	0
0015	II	DESIGN CONCEPT	A	RB		58000.00	0
0015	III	ARCH. INFORMATION PACKAGE	A	RB		110000.0	0
0015	IV	ISSUE OF DEFECTS LIST	A	RB		19000.00	0
0015	V	HANDOVER TO CLIENT	A	RB		19400.00	0
0016	 	George & Co.Bar, Park Lane HK				0.00	0
0016	DP	Down Payment	A	RB		1600.00	1
0016	I	PLANNING	A	RB		2592.00	0
0016	II	DESIGN CONCEPT	A	RB		2592.00	0
0016	III	ARCH. INFORMATION PACKAGE	A	RB		3600.00	0
0016	IV	MILLWORK & SPECS	A	RB		3456.00	0
0016	V	BIDDING & NEG./REV. SAMPLES/IN	A	RB		2160.00	0
0017	 	OMNI RESTAURANT, N.Y.				0.00	0
0017	I	PLANNING	A	RB	8/16/2000 0:00:00		0
0017	II	DESIGN CONCEPT	A	RB	8/16/2000 0:00:00		0
0018	 	CIG Centre(Glion Hotel School)				0.00	0
0018	DP	DOWN PAYMENT	A	RB		11200.00	1
0018	I	PLANNING	A	RB		18144.00	0
0018	II	DESIGN CONCEPT	A	RB		18144.00	0
0018	III	ARCHITECTURAL INFORMATION	A	RB		25200.00	0
0018	IV	MILLWORK & SPECS	A	RB		24192.00	0
0018	V	TENDER ASSISTENCE	A	RB		15120.00	0
0019	 	ATHENS HILTON				0.00	0
0019	AS	Add Serv/ New Guest Tower FF	A	BOB			0
0019	DP	Down Payment	A	BOB		75300.00	1
0019	I	Planning	A	BOB		121986.0	0
0019	II	DESIGN CONCEPT	A	BOB	12/1/2000 0:00:00	117885.5	0
0019	III	ARCH. INFORMATION	A	BOB		163729.8	0
0019	IV	MILLWORK AND SPECS	A	BOB	5/17/2001 0:00:00	157180.6	0
0019	V	Bidding & Neg./Corrd./Install	A	BOB	10/11/2001 0:00:00	98237.88	0
0021	 	HOTEL DU LAC Tunisia				0.00	0
0021	DP	DOWN PAYMENT	A	BOB		65000.00	1
0021	I	PLANNING	A	BOB		105300.0	0
0022	 	Sheraton Hotel, Kowloon				0.00	0
0022	8	VIII	A	RB		9608.97	0
0022	9	VIIII	A	RB		9608.97	0
0022	AS	Addition to Main Contract	A	BOB		81179.49	0
0022	I	PLANNING	A	RB	12/1/2000 0:00:00	38435.90	0
0022	II	DESIGN CONCEPT	A	RB	12/1/2000 0:00:00	57653.85	0
0022	III	III	A	BOB		57653.85	0
0022	IV	IV	A	BOB		38435.90	0
0022	V	V	A	RB		19217.95	0
0022	VI	VI	A	RB		19217.95	0
0022	VII	VII	A	RB		57653.85	0
0022	X	X	A	RB		57653.85	0
0022	XI	XI	A	RB		9608.97	0
0022	XII	XII	A	RB		9608.96	0
0022.1	 	SHERATON KOWLOON LIFT &DRIVEWA				0.00	0
0022.1	DP	DOWN PAYMENT	A	RB		4000.00	1
0022.1	I	PLANNING	A	RB		4000.00	0
0023	 	Hyatt Regency Guatemla				0.00	0
0023	DP	DOWN PAYMENT	A	BOB		35000.00	1
0023	I	PLANNING	A	RB	12/1/2000 0:00:00	1.00	0
0023	II	CONCEPT DESIGN	A	RB	5/7/2001 0:00:00		0
0023	III	ARCHITECTURAL INF. PACKAGE	A	RB	5/9/2001 0:00:00		0
0024	 	New World Tower, Shanghi				0.00	0
0024	DP	DOWN PAYMENT	A	BOB		19800.00	1
0024	I	PLANNING	A	BOB		162000.0	0
0024	II	DESIGN CONCEPT	A	BOB		30294.00	0
0024	III	ARCHITECTURAL INFORMATION	A	BOB		44550.00	0
0024	IV	MILLWORK & SPECS	A	BOB		42768.00	0
0024	V	TENDER ASSISTANCE	A	BOB		23166.00	0
0024	VI	Construction & Installation	A	BOB		7128.00	0
0025	 	Shangri la Kowloon				0.00	0
0025	AS	Additional Services	A	BILK		10000.00	0
0025	DP	DOWN PAYMENT	A	BOB		54700.00	1
0025	I	PLANNING	A	BOB		82050.00	0
0025	II	DESING CONCEPT	A	BOB	5/18/2001 0:00:00	82050.00	0
0025	III	Architectural Information	A	BOB		136750.0	0
0025	IV	Millwork & Specs	A	BOB		82050.00	0
0025	V	Tender Assistence	A	BOB		82050.00	0
0025	VI	Compilation of Defect Lists	A	BOB		27350.00	0
0026	 	Makati Shangri-la Manila				0.00	0
0026	DP	DOWN PAYMENT	A	BOB		15800.00	1
0026	I	PLANNING	A	BOB		25596.00	0
0026	II	DESIGN CONCEPT	A	BOB		25596.00	0
0026	III	ARCHITECTURAL INFORMATION	A	BOB	5/30/2001 0:00:00	35550.00	0
0026	IV	Millwork & Specs	A	BOB		34128.00	0
0026	V	Tender Assistence	A	BOB	12/11/2001 0:00:00	21330.00	0
0027	 	Edsa Shangri-la  Manila				0.00	0
0027	DP	DOWN PAYMENT	A	BOB		34500.00	1
0027	I	PLANNING	A	BOB	1/29/2001 0:00:00	1.00	0
0101	 	Ocean Hammock Club				0.00	0
